,E07000213,E09000028,E09000014,E07000211,E08000003,E07000109,E09000022,E09000024,E07000098,E07000063,E06000051,E07000071,E08000026,E09000025,E09000004,E07000245,E09000033,E09000010,E09000002,E09000027,E07000207,E09000005,E06000043,E09000032,E09000011,E09000008,E06000032,E09000012,E09000006,E09000009,E07000212,E07000042,E06000027,E07000045,E09000021,E07000164,E06000059,E07000225,E07000147,E07000047,E07000241,E07000165,E07000094,E07000181,E06000047,E06000026,E07000239,E07000044,E07000041,E09000026,E09000015,E06000044,E07000029,E09000017,E07000011,E07000026,E09000018,E06000020,E06000031,E07000010,E09000029,E09000003,E07000218,E09000020,E06000052,E07000085,E09000007,E07000146,E07000192,E07000070,E07000214,E07000119,E08000004,E08000028,E08000008,E09000031,E07000103,E08000007,E09000019,E07000068,E06000057,E06000011,E07000237,E06000010,E06000045,E07000069,E06000016,E07000172,E08000027,E06000030,E06000035,E07000246,E07000220,E07000243,E07000107,E07000130,E06000034,E06000054,E06000058,E07000066,E06000007,E07000065,E09000030,E07000095,E07000242,E08000005,E06000033,E07000136,E07000073,E06000022,E07000089,E07000008,E07000154,E07000032,E07000228,E07000149,E07000113,E07000075,E07000072,E07000209,E08000011,E07000134,E07000080,E08000037,E07000198,E07000133,E07000144,E06000039,E07000116,E07000173,E06000050,E06000041,E07000084,E07000177,E06000060,E08000032,E07000096,E07000196,E06000042,E08000035,E08000024,E07000217,E06000012,E07000137,E07000061,E08000025,E08000021,E06000019,E07000195,E07000106,E07000179,E09000013,E06000056,E06000023,E07000129,E06000025,E07000235,E07000081,E07000099,E07000091,E07000074,E06000018,E08000019,E08000029,E08000030,E07000110,E07000108,E07000174,E07000170,E08000018,E07000033,E08000012,E08000014,E07000208,E07000111,E07000216,E07000169,E07000197,E08000009,E06000046,E07000046,E09000023,E07000078,E07000141,E07000140,E06000006,E07000132,E07000152,E07000076,E08000034,E06000001,E07000189,E07000153,E07000226,E07000219,E07000221,E06000049,E07000012,E07000090,E07000238,E07000187,E07000224,E06000038,E06000036,E07000240,E07000229,E08000022,E07000115,E07000086,E07000031,E07000227,E07000188,E07000038,E07000148,E07000244,E06000014,E07000093,E07000040,E07000088,E07000200,E07000118,E07000155,E06000037,E06000055
E07000213,0.0,1779.8863718133334,0.001,950.2886485126667,583.339471858,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2129.1585947753333,0.001,0.001,18902.149448606666,21559.78800378,0.001,0.001,204.19929265666667,0.001,0.001,0.001,0.001,0.001,907.010589472,26649.53156701333,0.001,0.001,0.001,2098.0715382813332,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,29410.793643833334,0.001,0.001,67660.064134,0.001,0.001,0.001,0.001,0.001,0.001,497.3929039040001,0.001,0.001,353.5390738533334,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,148.7302310693333,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3694.483321767333,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,390.7216316206667,0.001,0.001,0.001,0.001,139.5869791593333,0.001,0.001,0.001,0.001,1518.3893671873334,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,88.99431859066668,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
E09000028,1779.8863718133334,0.0,18877.76744351333,5490.217996891333,0.001,602.8450759326668,169272.07036046666,25930.26241676,504.0979553046667,354.1486239806667,0.001,0.001,0.001,58516.81222400001,13026.086221113332,0.001,280454.01358606666,2464.4111648086664,4024.2499406546667,12501.873111606666,3115.4107008006667,9259.066434193333,5254.931647740666,103867.3416976,72231.69008900001,55590.9716128,1496.4455626033332,105878.85711780001,32708.45983270667,5626.1476752866665,758.88990853,0.001,0.001,0.001,8625.134301766666,0.001,0.001,0.001,0.001,0.001,0.001,0.001,930.7830444379999,0.001,0.001,0.001,0.001,0.001,0.001,12312.912572133333,3545.1435405706666,2270.574224316667,0.001,2455.2679128986665,0.001,0.001,6247.888805166667,0.001,0.001,0.001,3397.0228596286665,11648.50293334,0.001,12684.738149806668,0.001,534.5754616713333,101429.14118826666,0.001,0.001,64.00276337,62.78366311533333,0.001,0.001,0.001,0.001,6991.539960513333,0.001,0.001,71317.364898,0.001,0.001,0.001,0.001,0.001,1868.2711402766665,555.909716128,0.001,0.001,0.001,0.001,62.78366311533333,0.001,0.001,267.59250589933333,3988.286483142,0.001,1509.8556654046668,871.0471319593335,999.0526586993334,1493.3978119666667,0.001,124.95777610333334,211940.57927380002,0.001,0.001,0.001,1174.6030953713334,0.001,0.001,0.001,490.078302376,0.001,0.001,0.001,2595.464442185333,0.001,0.001,0.001,256.6206036073333,4912.974026306667,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,871.6566820866667,0.001,0.001,191.39873998266665,2080.394584588667,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4466.173782971333,0.001,0.001,973.4515533513334,0.001,0.001,0.001,0.001,0.001,0.001,22632.596227886665,552.8619654913333,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2407.7230029666666,1010.6341111186666,1469.0158068733333,0.001,0.001,0.001,0.001,0.001,188229.07932053335,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8862.858851426667,0.001,0.001,0.001,0.001,921.0302424006668,0.001,0.001,0.001,428.5137395153333,715.002299362,1598.2404338679999,313.9183155766666,0.001,1147.7828897686666,1092.3138281813335,0.001,1249.5777610333334,0.001,0.001,0.001,0.001,0.001,249.30600207933333,0.001,0.001,0.001,0.001,0.001,0.001,67.05051400666667
E09000014,0.001,18877.76744351333,0.0,0.001,0.001,0.001,6394.180835726666,407.789035186,724.7551013993333,0.001,0.001,0.001,0.001,13367.43429242,0.001,0.001,68086.74922313335,234006.29388326668,0.001,0.001,0.001,866.780281068,162.14033387066667,6278.366311533334,0.001,762.5472092940001,0.001,104659.75686313334,0.001,70.70781477066667,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1712.8358578066666,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6083.3102707866665,0.001,0.001,0.001,276.73575780933334,0.001,0.001,0.001,0.001,0.001,0.001,0.001,85032.242763,0.001,1713.4454079339998,0.001,0.001,95089.81986399999,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,41632.27369686667,0.001,0.001,124713.9560524,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1080.732375762,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,9966.1445819,5485.951145999999,1349.543981916,0.001,0.001,0.001,914.9347411273333,0.001,0.001,373.04467792800006,0.001,0.001,0.001,0.001,0.001,0.001,212.73299443933337,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7594.994586573333,0.001,0.001,0.001,0.001,0.001,0.001,468.7440479193333,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,167.01673488933332,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
E07000211,950.2886485126667,5490.217996891333,0.001,0.0,0.001,0.001,0.001,209.07569367533335,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,210.29479393,0.001,0.001,0.001,813.1398698626667,0.001,739.3843044553333,158.48303310666668,0.001,14165.944959226668,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,760.1090087846667,0.001,0.001,0.001,0.001,0.001,0.001,27673.57578093333,0.001,0.001,0.001,0.001,0.001,824.1117721546666,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1199.594650592,0.001,0.001,0.001,0.001,866.1707309406668,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,18067.06577416,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,57541.53202026666,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,616.8647288613333,0.001,0.001,0.001,0.001,291.9745109926667,0.001,0.001,763.7663095486666,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
E08000003,583.339471858,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,62.174112988,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1134.9823370946667,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6381.98983318,0.001,0.001,0.001,0.001,0.001,83264.54739373334,0.001,98686.16561526667,0.001,0.001,213830.18466853333,0.001,0.001,0.001,0.001,0.001,350.49132321666673,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1984.08566447,0.001,0.001,0.001,0.001,55042.3764982,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,148.12068094199998,0.001,0.001,0.001,0.001,0.001,0.001,1670.7768990206666,0.001,0.001,0.001,0.001,0.001,0.001,0.001,536.4041120533334,3960.2471772846666,0.001,0.001,0.001,0.001,0.001,3190.3853664626668,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,254.79195322533332,3706.064774186667,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5985.782250413333,0.001,0.001,0.001,0.001,0.001,63.39321324266667,273444.1871217333,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1845.717785565333,0.001,0.001,0.001,0.001,0.001,0.001,16317.656908713336,0.001,0.001,0.001,0.001,0.001,132.27237763133334,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1112.4289823833333,0.001,0.001,0.001,0.001,249.91555220666666,0.001,0.001,0.001
E07000109,0.001,602.8450759326668,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,515.6794077239999,483.9828011026666,0.001,366.3396265273333,0.001,0.001,0.001,0.001,0.001,0.001,0.001,64.61231349733333,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1022.215563538,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,25040.319230853333,0.001,0.001,0.001,57541.53202026666,0.001,1214.223853648,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,426.68508913333335,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1106.3334811099999,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
E09000022,0.001,169272.07036046666,6394.180835726666,0.001,0.001,0.001,0.0,61442.6528352,0.001,0.001,0.001,0.001,0.001,1702.473505642,0.001,0.001,58090.12713486666,0.001,0.001,0.001,0.001,0.001,0.001,169515.8904114,882.6285843786666,113863.96378586667,0.001,8716.566820866667,31013.910478719998,0.001,0.001,0.001,0.001,0.001,134.10102801333335,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14068.416938853334,0.001,0.001,7082.972479613333,0.001,0.001,19682.373611593335,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1587.8780817033335,0.001,0.001,7863.1966426,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6833.056927406667,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7649.854098033335,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,28027.11485478667,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
E09000024,0.001,25930.26241676,407.789035186,209.07569367533335,0.001,0.001,61442.6528352,0.0,0.001,0.001,0.001,0.001,0.001,591.8731736406667,0.001,0.001,23162.90483866667,0.001,0.001,13458.866811520002,4049.2414958753334,0.001,0.001,190850.14486806665,0.001,69915.39960513334,0.001,3014.225379663333,680.257942104,130.44372724933334,0.001,0.001,0.001,0.001,72780.28520360001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,138306.92389193334,68.26961426133333,0.001,3813.955146724667,0.001,0.001,6308.8438179,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,974.6706536060001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,678.429291722,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,360.244125254,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,247.47735169733335,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11099.907818740001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7759.573120953333,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
E07000098,0.001,504.0979553046667,724.7551013993333,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,80.460616808,5010.50204668,0.001,0.001,0.001,1166.678943716,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11380.300877313333,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,16915.016033500004,0.001,0.001,328.54751863266665,0.001,0.001,0.001,0.001,0.001,0.001,0.001,50653.615581399994,0.001,0.001,0.001,0.001,3543.3148901886666,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,43521.8790916,0.001,325.499767996,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,433.9996906613334,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,778.3955126046667,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11685.075940980001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
E07000063,0.001,354.1486239806667,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,24119.89853858,0.001,0.001,79.85106668066666,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4259.536289805334,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,18530.32387093333,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,9405.358464753333,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
